t;Wt;Rt;Tt
0;8385.037;0;27.84059615
1;7572.357;0;27.77753846
2;6829.254;0;27.72473077
3;6278.161;0;27.69146154
4;5786.572;0;27.68665385
5;5371.279;0;27.71232692
6;5072.841;86.618;27.74930769
7;4788.139;2277.065;27.80359615
8;4491.869;4993.702;27.86817308
9;4134.068;7178.23;27.93013462
10;3721.906;8768.762;27.98167308
11;3329.476;9686.016;28.00648077
12;2915.982;9945.251;28.00501923
13;2538.507;9556.175;27.98909615
14;2268.201;8556.292;27.97598077
15;2160.239;6931.846;27.97236538
16;2227.43;4672.585;27.97705769
17;2349.004;1960.053;27.98646154
18;2503.082;40.333;27.99311538
19;2732.228;0;28.00178846
20;3020.842;0;28.00751923
21;3329.442;0;28.00146154
22;3725.095;0;27.97244231
23;4185.575;0;27.92025
