D;S;W
19612.2;0;4518.912
18725.63791;0;4723.348136
18160.478;0;4765.637141
17936.66522;0;4728.527889
17651.44104;0;4552.293261
17466.00304;0;3919.940667
17513.64635;88.83265652;3807.799443
17013.1307;2204.143755;3995.535766
19967.40574;5055.495626;4205.263275
23381.3287;7376.268926;4819.112757
25176.83478;8574.237843;4653.5775
23979.53887;9582.599141;3479.721243
22210.73704;9226.993296;4209.952162
22187.76;9420.91742;3071.057823
21401.46913;8754.403289;2822.037689
26768.29239;7236.4806;2863.611535
22923.21687;4634.176878;3384.49604
26828.75661;1574.920636;3690.491583
26228.34835;33.04404174;4307.294036
22918.82;0;4037.414958
21096.98783;0;5683.849983
19177.09835;0;6885.668083
19507.32522;0;5786.017135
20734.659;0;5383.73192
