0;6;12;18
19612.2;;;
18725.63791;;;
18160.478;;;
17936.66522;;;
17651.44104;;;
17466.00304;;;
17513.64635;16914.06674;;
17013.1307;17801.20487;;
19967.40574;19749.61117;;
23381.3287;23021;;
25176.83478;24862.12435;;
23979.53887;22931.53652;;
22210.73704;23333.63609;23601.48357;
22187.76;23727.48;22858.92;
21401.46913;22149.20696;22967.67674;
26768.29239;25519.46739;25106.81217;
22923.21687;26087.66474;24576.12435;
26828.75661;22410.1513;24693.44974;
26228.34835;25377.86948;23634.91278;24201.8987
22918.82;22701.58;24982.6;25112.944
21096.98783;24697.67565;23602.25513;23450.11339
19177.09835;23211.3633;20744.91696;21834.74209
19507.32522;19976.2513;20126.30765;21336.13696
20734.659;19141.08617;20288.45861;21490.46783
