0;6;12;18
4518.912;;;
4723.348136;;;
4765.637141;;;
4728.527889;;;
4552.293261;;;
3919.940667;;;
3807.799443;3958.93017;;
3995.535766;4050.560914;;
4205.263275;4332.751485;;
4819.112757;4177.44253;;
4653.5775;4276.508967;;
3479.721243;4061.138574;;
4209.952162;3796.3036;3703.671875;
3071.057823;3046.853843;3251.875784;
2822.037689;2676.292598;2892.975565;
2863.611535;2937.352604;2752.99993;
3384.49604;3182.796313;2892.297965;
3690.491583;3081.001306;3408.11306;
4307.294036;3929.320138;3699.319;3688.060203
4037.414958;4337.379798;3927.489955;4255.40183
5683.849983;4758.071387;5416.881271;5009.969284
6885.668083;6067.90427;6096.937304;5545.309643
5786.017135;7064.753342;5495.39527;6103.05917
5383.73192;6181.84409;7332.479304;6351.055151
