sep=;
dias;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total
1;19682.10;19779.00;19907.40;19659.10;19280.70;19099.70;18904.40;18922.50;19674.10;20611.30;21374.40;21645.70;21558.40;21338.80;20992.80;20776.40;20658.30;20355.90;21444.00;22295.80;21959.70;22432.00;22173.70;3127.30;477653.40
2;6842.70;12221.60;18107.30;17500.10;16925.90;16677.30;16706.80;17307.90;19820.30;23209.20;24799.00;24726.00;24785.20;23096.40;24071.10;23900.00;16790.90;23249.90;24987.50;25570.00;24084.30;20944.20;21062.40;21454.60;488840.80
3;20581.90;19781.10;19152.20;18675.40;18324.50;18099.20;18060.70;18679.60;21317.50;24362.60;25533.20;25643.80;24700.80;22900.20;23928.10;26177.30;25946.10;25482.20;25594.20;25327.10;24245.70;23263.60;23021.60;21624.70;540423.30
4;21147.60;20386.70;19743.30;19029.40;18637.30;18459.30;18449.80;19084.70;21696.90;24931.80;25578.70;25642.30;24789.50;22671.50;23602.40;25810.90;25891.60;25049.10;25443.10;25568.50;24182.10;22973.00;22425.00;21816.60;543011.10
5;20312.10;20008.50;19666.10;19133.40;18844.70;18680.10;18542.80;18358.00;20854.90;24282.00;25222.60;25151.70;24585.30;22640.80;23049.50;25038.20;25008.10;24274.80;25078.00;25451.30;24127.10;22808.90;22342.40;21666.10;535127.40
6;20949.60;20446.30;19840.20;19206.10;18729.80;18387.60;18169.90;18207.30;19566.20;21805.70;22298.90;21234.80;21173.00;19894.20;19940.10;20103.50;20100.70;21477.50;22877.30;23439.40;22195.00;21403.80;20894.20;20347.10;492688.00
7;19565.80;19015.70;18399.20;17853.60;17500.80;17335.50;17217.60;17293.10;18728.40;20683.80;22192.10;22337.90;22205.20;20527.80;20351.60;20405.40;20274.30;21362.00;22607.40;23389.10;22424.10;21743.80;21505.20;20745.40;485664.70
8;19849.30;19129.50;18505.60;18042.30;17721.70;17521.50;17610.80;18122.80;20888.50;24167.80;25377.60;25600.90;24732.90;22773.20;22777.40;25362.30;25835.80;24777.50;24384.60;24405.70;23113.20;22003.40;21563.00;20717.20;524984.60
9;19694.30;18760.30;18100.40;17630.80;17181.10;16988.00;17068.40;17639.00;20196.30;23291.00;24433.50;24685.00;23814.40;22442.80;23471.60;25464.60;25206.80;23619.50;23419.20;23675.70;22487.50;21620.50;21043.20;20229.10;512163.00
10;19328.00;18536.60;17871.50;17325.20;16892.80;16798.10;17136.00;17552.80;20073.60;23025.70;24389.80;24479.60;23730.50;22168.30;22969.20;24810.90;24847.40;24040.60;24006.40;24168.50;22931.60;21888.30;21353.20;20374.90;510699.60
11;19305.00;18470.90;17825.70;17188.90;16687.00;16450.30;16648.10;17138.60;19808.20;22623.30;23833.80;24259.00;23453.90;21946.30;22813.90;24879.60;24734.90;23773.00;23658.90;23630.30;22284.50;21163.70;20742.90;19982.90;503303.60
12;19073.80;18364.90;17848.60;17293.70;16978.20;16830.00;16752.70;17051.60;19102.10;22116.50;23408.20;23676.50;23249.40;21519.10;21870.90;23549.70;23628.20;22333.50;22167.10;23548.30;22451.90;21279.50;20711.80;20049.90;494856.00
13;19351.90;18647.30;18082.70;17071.70;16528.80;16458.30;16405.40;16678.60;18060.80;19900.10;21212.00;21471.50;21302.20;19656.00;19682.60;19346.70;19299.10;20460.30;21611.30;22265.70;21460.30;20917.60;20323.70;19484.70;465679.00
14;18942.10;18311.30;17681.40;17168.00;16924.10;16780.10;16894.70;17496.60;20074.10;23044.00;23081.50;23191.80;22421.50;21387.70;22518.20;24730.90;24731.90;23785.00;23718.10;23725.80;22412.90;21572.50;21239.70;20519.20;502353.10
15;19673.80;18874.20;18139.10;17181.00;17026.60;16966.70;17076.90;17626.70;20115.00;23229.50;24309.00;24531.60;23640.20;21096.50;23184.20;25209.90;25222.20;24238.20;24137.00;24207.70;22836.40;21877.60;21447.80;20531.20;512379.20
