0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12389.815,12193.661,11949.627,11648.035,11517.005,11615.096,11729.864,11898.155,12068.272,12129.684,12231.22,12157.087,12036.781,12148.183,12366.359,12522.66,12634.395,12806.051,12916.719,12929.255,12916.939,12874.264,12838.533,12794.495
12729.785,12630.155,12513.876,12384.179,12267.355,12236.801,12254.85,12231.194,12125.586,11982.987,11934.514,11771.583,11457.134,11065.869,10728.326,10552.564,10141.762,9727.666,9661.544,9820.916,9924.279,10036.913,10756.605,11475.187
11720.478,11679.421,11475.13,11231.66,10704.702,10038.997,9662.619,9610.25,9680.943,9639.061,9815.523,9932.289,9696.083,9172.135,8839.979,8744.35,8551.213,8440.345,8479.699,8350.26,8079.509,7733.713,7805.087,8177.935
8351.739,8272.032,8096.083,7968.889,7101.067,6087.761,5824.832,6205.986,6445.676,6445.7,6473.284,6445.786,5865.138,4912.649,4208.734,3765.638,3710.091,4004.816,4836.067,5801.035,6482.763,6832.093,7225.652,7574.803
7840.17,8271.907,8701.003,9093.792,8873.851,8218.886,7574.844,6941.976,6200.365,5585.821,6025.4,6995.502,7610.43,7856.333,7892.754,8049.33,7805.026,7428.092,7343.657,7323.683,7071.179,6636.92,6644.918,6722.777
6408.755,5984.437,5732.896,5783.703,5863.523,5910.941,6076.832,6312.031,6482.637,6511.446,6698.212,6703.67,6557.223,6395.761,6203.419,6113.788,5734.471,5116.327,4829.473,4742.461,4560.501,4082.851,3900.284,3831.822
3609.946,3372.311,3321.53,3359.671,2969.195,2483.02,2246.302,2187.167,2203.879,2088.881,2044.485,2027.6,1909.381,1752.103,1652.999,1769.463,1992.328,2276.543,2550.518,2799.181,3015.323,3188.922,3499.57,3835.439
4120.164,4285.268,4486.597,4753.116,4884.436,4846.358,4752.959,4629.834,4484.642,4294.918,4152.648,3952.591,3609.598,3167.533,2782.056,2485.194,2345.506,2355.436,2546.568,2878.39,3228.827,3517.166,3843.095,4157.297
4247.288,4309.931,4473.542,4717.756,4697.196,4439.0,4231.781,4143.296,3933.201,3551.361,3419.561,3499.475,3530.603,3527.48,3521.243,3609.853,3392.562,3053.159,2864.641,2790.352,2646.37,2288.807,2197.426,2290.919
2301.226,2413.598,2741.372,3309.593,3745.959,4015.995,4204.092,4245.643,4164.109,4043.186,4021.299,4016.059,4015.685,3963.658,3950.6,4148.044,4206.937,4202.337,4169.152,4082.328,3809.008,3458.714,3062.313,2737.4
2614.072,2762.482,3089.148,3426.006,3545.529,3499.176,3360.372,3174.315,2986.229,2902.085,3057.934,3260.361,3302.827,3253.357,3293.099,3499.467,3713.554,3814.111,3891.492,4037.744,4166.614,4070.821,3641.943,3088.944
2635.258,2344.434,2168.561,2160.799,2241.711,2345.347,2395.751,2394.926,2394.907,2452.531,2660.916,3015.206,3467.936,3900.575,4317.446,4677.561,4888.821,4919.171,4920.468,4925.761,4788.321,4553.658,4514.411,4672.851
4841.321,4945.572,5036.926,5156.952,5160.459,5159.225,5289.213,5506.114,5692.14,5710.343,5783.302,5891.683,5863.641,5884.608,6150.513,6748.337,7287.57,7646.041,8014.52,8377.574,8590.107,8589.969,8691.459,8839.568
8808.222,8804.591,8854.068,8850.004,8737.926,8736.224,8969.823,9344.888,9678.211,9961.906,10246.95,10368.716,10284.563,10049.522,9903.542,9891.242,9770.47,9519.502,9375.987,9433.461,9509.449,9428.646,9331.422,9190.732
9024.086,8897.037,8913.712,9133.103,9300.97,9469.87,9742.471,9985.302,10133.506,10221.728,10469.871,10637.787,10505.253,10116.47,9770.382,9667.436,9674.23,9679.979,9679.571,9752.106,9768.231,9664.625,9509.084,9271.127
8902.025,8473.892,8049.145,7756.451,7287.57,6703.692,6478.56,6620.74,6709.239,6617.678,6803.553,7323.682,7879.295,8318.335,8507.219,8589.981,8618.364,8596.57,8626.113,8768.769,8928.069,8881.708,8589.941,8066.269
7620.315,7472.316,7681.819,8067.623,8401.905,8633.109,8688.909,8622.935,8392.261,8056.501,8006.415,8133.75,8222.561,8184.581,8151.689,8261.732,8352.157,8479.705,8673.704,8827.435,8722.34,8384.354,8219.783,8242.234
8272.137,8233.555,8239.214,8403.363,8448.096,8421.833,8507.363,8679.674,8858.108,8933.029,8774.622,8499.536,8168.792,7769.856,7449.621,7444.59,7610.416,7840.181,8049.121,8318.232,8473.917,8423.119,8484.836,8673.013
8710.794,8398.376,7962.404,7603.568,7179.05,6796.059,6409.013,6242.487,6324.514,6408.901,6482.662,6538.041,6366.814,5812.764,5060.601,4353.01,3812.991,3693.914,4016.189,4779.729,5439.767,5705.013,5793.028,5750.796
5518.201,5234.926,5198.888,5369.409,5505.549,5742.682,6085.85,6407.395,6617.978,6766.469,7173.76,7734.554,8182.037,8380.776,8277.236,8238.584,8237.973,8049.204,7840.1,8014.683,8535.224,9140.349,9816.3,10496.306
10894.903,11124.266,11243.433,11236.837,11074.935,10940.935,10963.04,11007.666,11055.248,10983.023,10911.021,10729.997,10364.802,10026.035,9796.034,9710.266,9534.623,9144.137,8718.868,8550.768,8668.915,8881.868,9048.556,9200.611
9355.277,9722.381,10195.925,10617.044,11310.965,11837.106,12080.575,12247.667,12295.147,12256.099,12233.807,12188.419,12067.894,11851.695,11533.549,11318.777,11189.83,11111.401,11096.379,11094.832,11013.781,10845.457,10747.649,10813.483
10929.52,11094.872,11278.004,11534.029,11726.023,11798.598,11769.909,11660.667,11382.907,10897.028,10289.593,9696.547,9181.259,8945.305,8881.245,8890.628,9135.7,9503.169,9752.691,9991.439,10157.801,10164.88,10012.955,9751.227
9410.871,8945.653,8507.471,8316.089,8272.047,8072.144,7794.329,7455.781,7160.753,6868.814,6442.654,5947.735,5663.754,5567.336,5736.578,6168.634,6941.998,7805.016,8503.872,8945.69,9053.175,8929.821,8622.676,8289.93
8064.789,7959.976,8008.968,7898.316,8237.97,8858.176,9455.811,9891.436,10199.883,10472.862,10528.286,10183.44,9568.866,8881.674,8306.949,7877.004,7697.984,7769.858,7978.91,8374.165,8865.734,9301.133,9554.136,9574.656
9376.403,9138.513,8945.798,8660.506,8318.803,8197.99,8388.267,8754.888,8902.641,8440.588,7840.144,7450.483,6666.889,5653.962,5000.203,4965.494,5325.564,5525.975,5781.966,6175.384,6568.317,6489.404,6108.284,5733.065
5362.084,5054.414,4841.466,4841.447,4979.393,5001.736,4912.462,4778.826,4560.074,4137.683,3390.233,2642.744,2063.923,1575.893,1177.291,870.297,617.586,400.626,204.191,55.358,7.885,6.897,33.024,170.52
450.608,711.463,929.761,1180.458,1341.009,1387.942,1503.806,1713.514,1947.875,2157.701,2492.934,2899.646,3118.292,3189.675,3201.135,3283.944,3371.687,3386.088,3455.683,3640.873,3828.306,3982.179,4392.33,4825.587
5072.808,5188.208,5091.557,4921.019,4419.695,3890.624,3468.589,3015.723,2486.205,1944.051,1783.702,1837.457,1885.31,2069.961,2394.852,2845.918,3348.867,3914.705,4640.566,5489.343,6197.265,6642.883,6930.123,6868.788
