sep=,
mean,1
5513.093333333333,3054.8984404255575
5490.609254901961,3097.7529522945038
5458.180980392153,3164.0380978893386
5471.54888235294,3227.841552721909
5515.619745098038,3236.9532433106097
5557.86125490196,3216.1486725243085
5596.951843137256,3207.7878875436536
5614.911411764708,3233.9540996887395
5575.770117647058,3252.857206253596
5467.746156862746,3250.4209256040754
5294.818274509805,3227.7780862457944
5085.34837254902,3222.029299539655
4836.468411764707,3210.2161241957165
4556.836333333333,3149.7578335086505
4346.240000000001,3106.1741112249006
4269.993509803922,3129.8729038301435
4284.460901960784,3164.1204722894436
4391.530607843137,3199.1589875010154
4602.635549019607,3199.454573354842
4890.053509803922,3176.3426015369587
5152.090352941176,3148.440079159518
5328.2483137254885,3109.4924193837137
5464.591686274508,3085.1829730688423
5540.133450980392,3058.6850981916746
